Index,Value
905,2096
906,2012
907,1927
908,1931
909,1925
910,1882
911,1863
912,1858
913,1858
914,1798
915,1875
916,1862
917,1902
918,1870
919,1871
920,1887
921,1860
922,1856
923,1866
924,1870
925,1886
926,1899
927,1883
928,1924
929,1875
930,1854
931,1927
932,1915
933,1857
934,1915
935,1869
936,1875
937,1881
938,1861
939,1875
940,1887
941,1831
942,1937
943,2256
944,1999
945,1983
946,1619
947,1873
948,1919
949,1861
950,1909
951,1917
952,1933
953,1936
954,1940
955,1954
956,1968
957,1968
958,1985
959,2031
960,2007
961,2080
962,2118
963,2107
964,2129
965,2131
966,2109
967,1979
968,1984
969,1935
970,1943
971,1920
972,1902
973,1898
974,1917
975,1891
976,1919
977,1925
978,1934
979,1904
980,1911
981,1873
982,1933
983,1925
984,1950
985,1920
986,1920
987,1956
988,1946
989,1962
990,1917
991,1951
992,1973
993,1897
994,1926
995,1920
996,1911
997,1904
998,1904
999,1922
1000,1920
1001,1866
1002,1943
1003,2323
1004,2127
1005,1974
1006,1640
1007,1901
1008,1966
1009,1904
1010,1952
1011,1955
1012,1952
1013,1954
1014,1993
1015,1974
1016,2001
1017,1968
1018,1981
1019,2026
1020,2069
1021,2090
1022,2118
1023,2141
1024,2139
1025,2160
1026,2078
1027,2075
1028,1925
1029,1908
1030,1933
1031,1905
1032,1914
1033,1929
1034,1905
1035,1902
1036,1923
1037,1936
1038,1979
1039,1936
1040,1922
1041,1952
1042,1953
1043,1968
1044,1959
1045,1955
1046,1975
1047,2013
1048,1962
1049,1943
1050,1968
1051,1994
1052,1943
1053,1958
1054,1942
1055,1940
1056,1937
1057,1936
1058,1942
1059,1927
1060,1867
1061,1942
1062,2312
1063,2240
1064,1983
1065,1648
1066,1855
1067,1938
1068,1889
1069,1920
1070,1926
1071,1936
1072,1931
1073,1936
1074,1931
1075,1935
1076,1947
1077,1963
1078,1970
1079,2015
1080,2034
1081,2064
1082,2091
1083,2091
1084,2081
1085,2032
1086,1991
1087,1936
1088,1898
1089,1886
1090,1859
1091,1872
1092,1856
1093,1858
1094,1883
1095,1875
1096,1874
1097,1889
1098,1884
1099,1910
1100,1909
1101,1920
1102,1886
1103,1876
1104,1939
1105,1926
1106,1926
1107,1920
1108,1991
1109,1904
1110,1881
1111,1906
1112,1875
1113,1867
1114,1883
1115,1878
1116,1867
1117,1854
1118,1765
1119,1971
1120,2341
1121,2038
1122,1843
1123,1620
1124,1916
1125,1881
1126,1882
1127,1907
1128,1905
1129,1906
1130,1891
1131,1899
1132,1904
1133,1918
1134,1936
1135,1953
1136,1966
1137,2005
1138,2005
1139,2031
1140,2036
1141,2035
1142,2004
1143,1968
1144,1901
1145,1849
1146,1833
1147,1838
1148,1799
1149,1808
1150,1803
1151,1798
1152,1776
1153,1813
1154,1807
1155,1837
1156,1826
1157,1827
1158,1821
1159,1846
1160,1835
1161,1847
1162,1840
1163,1822
1164,1876
1165,1895
1166,1811
1167,1835
1168,1819
1169,1830
1170,1813
1171,1831
1172,1841
1173,1837
1174,1753
1175,1873
1176,2224
1177,1970
1178,1936
1179,1588
1180,1796
1181,1878
1182,1875
1183,1891
1184,1885
1185,1904
1186,1890
1187,1895
1188,1907
1189,1904
1190,1933
1191,1955
1192,1935
1193,1987
1194,2001
1195,2032
1196,2038
1197,2035
1198,2029
1199,1962
1200,1911
1201,1875
1202,1834
1203,1821
1204,1808
1205,1807
1206,1811
1207,1808
1208,1803
1209,1813
1210,1818
1211,1806
1212,1831
1213,1861
1214,1850
1215,1871
1216,1874
1217,1872
1218,1845
1219,1902
1220,1929
1221,1854
1222,1855
1223,1856
1224,1828
1225,1846
1226,1846
1227,1853
1228,1841
1229,1776
1230,1794
1231,2150
1232,2023
1233,1936
1234,1637
1235,1651
1236,1889
1237,1827
1238,1837
1239,1868
1240,1859
1241,1893
1242,1854
1243,1872
1244,1875
1245,1904
1246,1903
1247,1924
1248,1949
1249,2012
1250,1994
1251,1995
1252,2045
1253,1984
1254,1936
1255,1919
1256,1856
1257,1838
1258,1814
1259,1844
1260,1827
1261,1809
1262,1825
1263,1814
1264,1825
1265,1791
1266,1813
1267,1854
1268,1842
1269,1815
1270,1872
1271,1827
1272,1817
1273,1770
1274,1782
1275,1787
1276,1795
1277,1741
1278,1709
1279,1728
1280,1726
1281,1715
1282,1735
1283,1684
1284,1718
1285,1642
1286,1664
1287,2078
1288,2046
1289,1901
1290,1609
1291,1636
1292,1823
1293,1771
1294,1775
1295,1760
1296,1770
1297,1757
1298,1749
1299,1729
1300,1717
1301,1728
1302,1705
1303,1680
1304,1717
1305,1762
